,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
PABPC1.rescaled,546.5,319.0,220.5,272.5,391.0,501.0,1360.0,8407.0,730.0,661.0,13408.5,0.9118017556330694
NGFR.rescaled,7885.0,398.5,550.0,403.0,537.0,425.0,850.0,351.0,1464.0,593.0,13456.5,0.9114843530442543
SLC6A17.rescaled,85.5,136.0,115.5,57.5,60.0,1276.0,2050.0,2523.0,4098.0,3551.0,13952.5,0.9082045262931676
PLA2G4C.rescaled,546.5,546.0,7886.5,403.0,537.0,322.0,854.0,1122.0,1089.0,682.0,13988.0,0.9079697806285232
MCM2.rescaled,397.5,219.5,260.5,7884.5,324.0,300.0,2220.0,239.0,588.0,1666.0,14099.0,0.9072357871418888
CPA4.rescaled,397.5,319.0,193.0,161.5,391.0,921.0,2848.0,1562.0,3731.0,3925.0,14449.0,0.9049213932651138
CCNO.rescaled,69.0,68.5,115.5,84.5,74.0,1069.0,580.0,11534.0,431.0,451.0,14476.5,0.9047395480319388
ZNF695.rescaled,261.5,319.0,260.5,272.5,264.0,955.0,3934.0,2193.0,3987.0,2173.0,14619.5,0.9037939528194276
FAM83B.rescaled,220.5,186.5,325.0,109.5,74.0,3149.0,785.0,6275.0,695.0,2948.0,14767.5,0.9028152948372484
MYBL2.rescaled,69.0,35.5,135.5,57.5,139.0,358.0,3260.0,397.0,7081.0,3427.0,14959.5,0.901545684481989
POLQ.rescaled,25.5,21.5,7.0,5.0,41.5,325.0,220.0,407.0,1346.0,12950.0,15348.5,0.8989734010018019
IGSF22.rescaled,133.5,55.0,88.0,133.0,165.0,1007.0,1099.0,747.0,10253.0,1993.0,15673.5,0.896824320973368
RNF165.rescaled,546.5,546.0,7886.5,550.5,537.0,2535.0,536.0,857.0,1003.0,861.0,15858.5,0.895600998495644
TMPRSS11E.rescaled,546.5,7884.0,407.5,550.5,391.0,2398.0,225.0,1007.0,1620.0,856.0,15885.5,0.8954224595394357
SULT1E1.rescaled,546.5,398.5,550.0,403.0,7883.5,355.0,1376.0,987.0,1754.0,1653.0,15906.5,0.8952835959068292
NUF2.rescaled,397.5,546.0,260.5,7884.5,391.0,1781.0,876.0,1903.0,1075.0,970.0,16084.5,0.8941065613066407
RASSF10.rescaled,320.0,7884.0,220.5,322.0,537.0,3567.0,1230.0,365.0,463.0,1180.0,16088.5,0.8940801110909061
DEPDC1.rescaled,113.5,96.5,74.5,36.0,84.5,183.0,1027.0,12426.0,302.0,1747.0,16090.0,0.8940701922600056
