	ALE Value
MMP8.rescaled	7.935598e-09
THRSP.rescaled	7.935188e-09
KCNC4.rescaled	7.934813e-09
ROPN1.rescaled	7.929287e-09
VSTM2A.rescaled	7.9279e-09
DUSP1.rescaled	7.926225e-09
STX19.rescaled	7.923921e-09
GABRP.rescaled	7.921249e-09
FLRT3.rescaled	7.9200335e-09
GFRA1.rescaled	7.917358e-09
RAB6C.rescaled	7.901718e-09
RBP1.rescaled	7.897209e-09
CA11.rescaled	7.875416e-09
ABO.rescaled	7.871639e-09
MZB1.rescaled	7.87111e-09
SERPINA3.rescaled	7.8699305e-09
SLC38A3.rescaled	7.865692e-09
NUP62CL.rescaled	7.854111e-09
GPR158.rescaled	7.848481e-09
ZNF251.rescaled	7.842355e-09
DAPL1.rescaled	7.83214e-09
CXXC4.rescaled	7.829405e-09
GALNT6.rescaled	7.8273645e-09
ADH1B.rescaled	7.823774e-09
ZNF707.rescaled	7.818424e-09
KCNC3.rescaled	7.818209e-09
SIX3.rescaled	7.8144655e-09
KLK4.rescaled	7.814264e-09
RSPH4A.rescaled	7.8040046e-09
CCBE1.rescaled	7.8037425e-09
LRAT.rescaled	7.797616e-09
IL6.rescaled	7.795093e-09
ARMC3.rescaled	7.774629e-09
CXCL1.rescaled	7.77338e-09
MYT1.rescaled	7.768158e-09
LMAN2L.rescaled	7.767298e-09
RTBDN.rescaled	7.758213e-09
AS3MT.rescaled	7.755625e-09
BRDT.rescaled	7.7387945e-09
ABCC6.rescaled	7.735313e-09
CD207.rescaled	7.735192e-09
DHX38.rescaled	7.732633e-09
ITPKA.rescaled	7.727631e-09
PPP4R4.rescaled	7.72218e-09
GGT6.rescaled	7.7219e-09
SOX5.rescaled	7.721778e-09
HMGCLL1.rescaled	7.721382e-09
CAPN8.rescaled	7.715525e-09
ARC.rescaled	7.714523e-09
SYT1.rescaled	7.709336e-09
EPHA10.rescaled	7.707178e-09
CEBPD.rescaled	7.704033e-09
TMEM213.rescaled	7.698565e-09
LONRF2.rescaled	7.697459e-09
NPTXR.rescaled	7.6923925e-09
TSEN54.rescaled	7.690787e-09
FIBCD1.rescaled	7.688962e-09
CLEC4C.rescaled	7.683224e-09
DKK1.rescaled	7.679772e-09
CLDN25.rescaled	7.678576e-09
SLC16A11.rescaled	7.676676e-09
DGAT1.rescaled	7.671821e-09
BNIPL.rescaled	7.662056e-09
PIGR.rescaled	7.658949e-09
SRPK3.rescaled	7.656123e-09
EXTL3.rescaled	7.655613e-09
TRH.rescaled	7.651442e-09
QPCTL.rescaled	7.644752e-09
SLC44A4.rescaled	7.634999e-09
XCR1.rescaled	7.634373e-09
C7orf26.rescaled	7.631067e-09
AKR7A3.rescaled	7.629396e-09
VWA2.rescaled	7.62878e-09
