	ALE Value
CBX2.rescaled	5.4340226e-09
IRX6.rescaled	5.415484e-09
HHIPL2.rescaled	5.3981477e-09
ZDHHC5.rescaled	5.3974607e-09
MKS1.rescaled	5.37921e-09
PVALB.rescaled	5.370333e-09
FOXD4.rescaled	5.364188e-09
SRP9.rescaled	5.358393e-09
TMPRSS3.rescaled	5.350128e-09
ALMS1.rescaled	5.33374e-09
TPT1.rescaled	5.3070566e-09
NRIP1.rescaled	5.2900138e-09
EDN2.rescaled	5.2877334e-09
GOLT1A.rescaled	5.286642e-09
ZNF638.rescaled	5.2726477e-09
CLP1.rescaled	5.271153e-09
IGSF22.rescaled	5.2683338e-09
ANKRD31.rescaled	5.265655e-09
GRM4.rescaled	5.252515e-09
AQP5.rescaled	5.2509637e-09
GSDMC.rescaled	5.24863e-09
DMXL1.rescaled	5.2476565e-09
C1QA.rescaled	5.2347504e-09
CHTF18.rescaled	5.22886e-09
PIK3R3.rescaled	5.2231934e-09
NDUFS6.rescaled	5.2121236e-09
BRWD3.rescaled	5.2015414e-09
BPIFB1.rescaled	5.19849e-09
STAC2.rescaled	5.189521e-09
TM6SF2.rescaled	5.184757e-09
PHLDA3.rescaled	5.181198e-09
PIGZ.rescaled	5.158013e-09
ENDOG.rescaled	5.1504947e-09
PPP2R2C.rescaled	5.1341726e-09
EIF3CL.rescaled	5.1327524e-09
RABGGTA.rescaled	5.1283706e-09
MTRNR2L1.rescaled	5.127721e-09
DLX3.rescaled	5.126569e-09
RABEPK.rescaled	5.1221782e-09
MRC1.rescaled	5.12076e-09
MYL7.rescaled	5.118274e-09
BEX2.rescaled	5.115249e-09
GPR82.rescaled	5.110638e-09
CXCR4.rescaled	5.104446e-09
NLGN4X.rescaled	5.0943894e-09
JMJD7.rescaled	5.089325e-09
DNAH3.rescaled	5.0863473e-09
LYPLAL1.rescaled	5.081625e-09
UBE2T.rescaled	5.072974e-09
SLC7A11.rescaled	5.0574585e-09
MED19.rescaled	5.044515e-09
TNFRSF6B.rescaled	5.0354534e-09
E2F6.rescaled	5.031669e-09
TMPRSS2.rescaled	5.022378e-09
GHRH.rescaled	5.0219167e-09
CLC.rescaled	5.01243e-09
RAB9B.rescaled	4.9899995e-09
RNF39.rescaled	4.9882902e-09
BRCA2.rescaled	4.9801296e-09
LRRC31.rescaled	4.980121e-09
PI3.rescaled	4.9712363e-09
G0S2.rescaled	4.9446713e-09
ACBD3.rescaled	4.92529e-09
CXCL13.rescaled	4.918862e-09
PITX3.rescaled	4.9104534e-09
EPHX1.rescaled	4.910084e-09
PCYOX1L.rescaled	4.905432e-09
GLT8D1.rescaled	4.901564e-09
KREMEN1.rescaled	4.898701e-09
CDC7.rescaled	4.893448e-09
RNF150.rescaled	4.8841855e-09
ABCD4.rescaled	4.87792e-09
CLNS1A.rescaled	4.8763873e-09
CROCC.rescaled	4.871846e-09
PDE6B.rescaled	4.8644337e-09
CRABP1.rescaled	4.8642854e-09
BIRC5.rescaled	4.8449724e-09
CHST9.rescaled	4.843428e-09
ARL8A.rescaled	4.8433644e-09
TNMD.rescaled	4.837101e-09
ASB6.rescaled	4.8359996e-09
SRD5A2.rescaled	4.825859e-09
KCNG3.rescaled	4.8174127e-09
UGT2B28.rescaled	4.810541e-09
RUNDC1.rescaled	4.8098787e-09
CHEK1.rescaled	4.8086912e-09
PTP4A2.rescaled	4.8077196e-09
